compose_file,host_path,container_path,mount_options,full_mount,category,recommended_action
docker-compose.postgresql.yml,config/postgresql/postgresql.conf,/etc/postgresql/postgresql.conf,,config/postgresql/postgresql.conf:/etc/postgresql/postgresql.conf,wrong relative root,Update path to start with infrastructure/docker/
services/shared/streaming/docker-compose.kafka.yml,services/shared/streaming/monitoring/jmx-kafka-config.yml,/opt/jmx_prometheus/config.yml,ro,services/shared/streaming/monitoring/jmx-kafka-config.yml:/opt/jmx_prometheus/config.yml:ro,wrong relative root,Update path to start with infrastructure/docker/
infrastructure/opa/docker-compose.opa.yml,services/core/governance-synthesis/gs_service/policies,/policies/gs,ro,services/core/governance-synthesis/gs_service/policies:/policies/gs:ro,wrong relative root,Update path to start with infrastructure/docker/
infrastructure/opa/docker-compose.opa.yml,infrastructure/docker/opa-config.yaml,/config/opa-config.yaml,ro,infrastructure/docker/opa-config.yaml:/config/opa-config.yaml:ro,missing host directory,Create directory: infrastructure/docker/opa-config.yaml
infrastructure/opa/docker-compose.opa.yml,config/opa/policies,/policies,ro,config/opa/policies:/policies:ro,wrong relative root,Update path to start with infrastructure/docker/
tests/load_testing/docker-compose.yml,tests/load_testing/monitoring/prometheus.yml,/etc/prometheus/prometheus.yml,,tests/load_testing/monitoring/prometheus.yml:/etc/prometheus/prometheus.yml,wrong relative root,Update path to start with infrastructure/docker/
tests/load_testing/docker-compose.yml,tests/load_testing/logs,/app/logs,,tests/load_testing/logs:/app/logs,wrong relative root,Update path to start with infrastructure/docker/
tests/load_testing/docker-compose.yml,tests/load_testing/reports,/app/reports,,tests/load_testing/reports:/app/reports,wrong relative root,Update path to start with infrastructure/docker/
tests/load_testing/docker-compose.yml,tests/load_testing/analysis,/app/analysis,,tests/load_testing/analysis:/app/analysis,wrong relative root,Update path to start with infrastructure/docker/
tests/load_testing/docker-compose.yml,tests/load_testing/monitoring/grafana/dashboards,/var/lib/grafana/dashboards,,tests/load_testing/monitoring/grafana/dashboards:/var/lib/grafana/dashboards,wrong relative root,Update path to start with infrastructure/docker/
